"","y"
"1",4.63526207397941
"2",3.85710017355566
"3",6.10703530310166
"4",8.41847820464454
"5",8.82244320897972
"6",8.59518836224969
"7",9.69092148115615
"8",8.64414658313237
"9",9.4045836487454
"10",8.46178760874018
"11",8.84454956742553
"12",10.3833941609561
"13",9.08733625527318
"14",10.2284676329469
"15",10.3696597798955
"16",9.91648285808691
"17",11.7556770073155
"18",9.80828136361204
"19",10.2316519419926
"20",10.0013473017143
"21",9.71743854818594
"22",9.91198639074462
"23",8.87659756824922
"24",8.42530265192148
"25",8.90309573606848
"26",10.4432218012712
"27",8.86968634601793
"28",9.56349479257424
"29",9.37756721918828
"30",9.58222535151143
"31",9.1231814333029
"32",10.7905225643108
"33",10.2975442357447
"34",9.62009147345038
"35",10.4685369475427
"36",11.1102992777688
"37",11.095163594266
"38",11.783680321855
"39",10.1356097837695
"40",11.1477199455368
"41",10.8994283729649
"42",9.79860403651073
"43",9.17496396994638
"44",8.72174327035191
"45",10.603096538228
"46",10.5552107491606
"47",11.3872613978156
"48",10.3543929794348
"49",9.57022051552635
"50",9.38805895582258
"51",9.65239768016948
"52",10.3739393385049
"53",9.77729828108099
"54",10.4269845584775
"55",10.2470725016391
"56",10.2407509826732
"57",10.2153162561067
"58",11.442802277528
"59",10.4966566140694
"60",10.4114147877509
"61",9.07062507474213
"62",10.8001578407813
"63",9.38423180707642
"64",9.35066401316649
"65",10.3121154227257
"66",9.07116228042449
"67",8.37271427089896
"68",11.0804477080578
"69",8.19883005754762
"70",10.6006139910492
"71",11.5240576016208
"72",10.0423636616357
"73",9.97475532703673
"74",10.3570320743946
"75",10.5487787144287
"76",9.97510015327816
"77",9.85738731696205
"78",10.5820881020497
"79",10.1276077874679
"80",9.04426471129361
"81",8.73078762226187
"82",9.89219126370403
"83",9.75120205018711
"84",9.14184377912168
"85",10.1340978440377
"86",9.05669744522013
"87",10.2109836677758
"88",9.98254338737915
"89",11.1539814100221
"90",11.9930353442865
"91",9.93851983745525
"92",11.5310269900657
"93",11.3834036994539
"94",10.665806576429
"95",10.0530153476976
"96",11.8432202661274
"97",8.9755560324016
"98",10.5517911112048
"99",10.27393109995
"100",11.9440468705229
"101",10.306498542055
"102",9.75742814233835
"103",12.4354345649859
"104",10.0337875875632
"105",9.63165465582792
"106",9.86745478090359
"107",8.60105172133118
"108",9.86656406171163
"109",9.0204469865583
"110",9.48181481872041
"111",8.91638532828861
"112",8.78352151678174
"113",9.30744125174544
"114",8.78353750032375
"115",10.3622673125794
"116",10.835835732621
"117",9.75966264894763
"118",9.6760928810758
"119",9.50864486771998
"120",9.57330584066221
"121",9.36414228734268
"122",9.67878492020036
"123",8.75136018708291
"124",8.66949947971109
"125",10.1801547991753
"126",9.66209668780404
"127",10.048148857283
"128",9.9012420720676
"129",9.30057264302736
"130",10.0960776644645
"131",9.84236105730436
"132",11.2225693361477
"133",10.4120530130801
"134",10.0417979763307
"135",10.2841679751105
"136",8.582273327095
"137",9.30318446357838
"138",9.81432338322477
"139",9.56124446579281
"140",10.3945073355317
"141",9.81484585365954
"142",9.67899773320363
"143",8.6008411274787
"144",9.77212359156008
"145",9.67994850716987
"146",7.89540024178863
"147",9.9256578158657
"148",8.91205052548546
"149",10.0779852851066
"150",9.29073289537009
"151",9.68498110880775
"152",9.83202349043276
"153",10.7088045575295
"154",9.83016766676714
"155",9.86387268334863
"156",8.60133407609229
"157",9.24869863137867
"158",10.1052932508616
"159",9.39628456228884
"160",10.1947212560629
"161",9.73109713084621
"162",10.8116376180884
"163",10.8004456683615
"164",8.99926732478998
"165",10.472490106601
"166",11.4379211966362
"167",8.87531929873805
"168",10.3192958089783
"169",11.7433457582709
"170",11.9412520288376
"171",10.5395261359644
"172",9.66426417468976
"173",10.3575858694171
"174",9.72011763137512
"175",11.8457316079009
"176",9.85004731226508
"177",10.253357200273
"178",10.441985038112
"179",9.56548993999428
"180",10.8210641303424
"181",9.50134200349097
"182",10.133560295652
"183",10.9252418543988
"184",9.31032412726888
"185",10.5171786643835
"186",9.36609611281896
"187",9.91558528498039
"188",10.2596650653869
"189",9.81827835895891
